PID,score,SMILES,Ester_Groups,Benzene_Rings,Ether_Groups,Alkyl_Carbons,Hydroxyl_Groups,Mol_Weight
P010071,0.9063683778439136,*/C=C/CC*,0,0,0,2,0,54.09199999999999
P340007,0.9052744581609772,*CC(*)(C)C(=O)Oc1ccc(C(=O)O)cc1,1,1,1,3,0,206.19699999999997
P310012,0.904504027009129,*CCC1CC(*)C2CCCC12,0,0,0,10,0,136.238
P040314,0.9022032327914824,*CC(*)(CC(=O)OCCC)C(=O)OCCC,2,0,2,9,0,214.26099999999994
P070332,0.9013601301362693,*CCOCCOC(=O)CCCCC(=O)O*,1,0,2,8,0,216.23299999999992
P342286,0.9010558750032428,*CC(*)(C)C(=O)OCc1ccc(Cl)c(Cl)c1,1,1,1,4,0,245.105
P450044,0.8974883289757143,*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,0,2,1,7,0,310.3930000000001
P430159,0.8966088534584868,*C(=O)OCCCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,1,2,2,4,0,365.3410000000001
P342168,0.8945326347816032,*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CC,1,2,1,6,0,293.36600000000004
P030118,0.8936022811259468,*CC(*)OC(=O)CCCC1CCCCC1,1,0,1,11,0,196.28999999999994
P070411,0.8933236121170627,*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CC,1,2,2,8,0,340.4190000000001
P462468,0.891858046010886,*CCN(*)C(=O)c1cc(F)c(F)cc1F,0,1,0,2,0,201.14699999999996
P040333,0.8909722097212512,*CC(*)(C)C(=O)Oc1cc(C)cc(C)c1,1,1,1,5,0,190.24199999999996
P342027,0.8892558929850098,*CC(*)(C)C(=O)OCCCCCn1c2ccccc2c2ccccc21,1,2,1,8,0,321.42
P392548,0.8868606162279082,*CCOC(=O)c1cc(C(=O)O*)cc(C(C)(C)C)c1,1,1,1,6,0,248.27799999999996
P010018,0.886143958611755,*CCCC(*)(C)C,0,0,0,6,0,84.16199999999999
P370615,0.8854396687645312,*CC(CS(=O)(=O)CCC)O*,0,0,0,6,0,164.22599999999997
P040275,0.8841830046726475,*CC(*)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,2,2,2,7,0,338.4030000000001
P010068,0.8840414678459279,*/C=C/CCC*,0,0,0,3,0,68.119
P010082,0.8840414678459279,*/C=C/CCC*,0,0,0,3,0,68.119
P010098,0.8840414678459279,*/C=C/CCC*,0,0,0,3,0,68.119
P040339,0.8838679333460261,*CC(*)(C)C(=O)OCC1CO1,1,0,2,6,0,142.15399999999997
P050023,0.8827748959456049,*CCC(F)(F)C(*)(F)F,0,0,0,4,0,128.068
P342169,0.8801839325379265,*CC(*)(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CCCC,1,2,1,8,0,321.42000000000013
P372555,0.8801683760460097,*CCOCCOC(=O)/C=C/C(=O)O*,1,0,2,4,0,186.16299999999998
P472007,0.8801466437292794,*[Si](*)(C)CCC(F)(F)F,0,0,0,4,0,140.18
P030197,0.8799169423782962,*CCC/C=C(/*)c1ccc(Cl)cc1,0,1,0,3,0,178.66199999999998
P040220,0.8798088122232107,*CC(*)C(=O)NC(C)(C)C,0,0,0,6,0,127.18699999999998
P070333,0.8790331248044122,*CCOCCOC(=O)CCCCCC(=O)O*,1,0,2,9,0,230.2599999999999
P392748,0.8766781042518529,*O/C(=C/CC)C(CC)C(*)=O,0,0,0,5,0,140.182
P342268,0.8761771827183824,*CC(C)CC(*)(C)C(=O)OC,1,0,1,7,0,142.19799999999998
P340078,0.8747517859670191,*CC(*)(C)C(=O)OCc1ccc[se]1,1,0,1,4,0,229.137
P020070,0.8743428931647333,*CC(*)c1ccc(C(O)CCN(C)C)cc1,0,1,0,7,1,205.301
P070022,0.8743232919178324,*CC(C)(C)O*,0,0,0,4,0,72.10699999999999
P392285,0.8741123739957091,*OC(C)COC(=O)/C=C/C(*)=O,1,0,1,3,0,156.13699999999997
P340014,0.874106261470929,*CC(*)(C)C(=O)OC1CCCC1,1,0,1,8,0,154.20899999999995
P462470,0.8731012805867135,*CCN(*)C(=O)c1cc(F)cc(F)c1F,0,1,0,2,0,201.14699999999996
P390061,0.8722009583498727,*CC(C)(C)COC(=O)Cc1ccc(C(=O)O*)cc1,1,1,1,6,0,248.27799999999996
P044346,0.8699808947655692,*CC(*)(C)C(=O)NC(=O)Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,0,2,1,3,0,361.375
P342028,0.8669289886418368,*CC(*)(C)C(=O)OCCCCCCn1c2ccccc2c2ccccc21,1,2,1,9,0,335.44700000000006
P030001,0.8652237433043307,*CC(*)O,0,0,0,2,1,44.053
P320020,0.8647888360290085,*CC(*)(C)c1ccc2ccccc2c1,0,2,0,3,0,168.23899999999998
P342352,0.864508206921849,*CC(*)(C)C(=O)OCc1ccsc1,1,0,1,4,0,182.244
P390243,0.8644705830265196,*OC(CCOc1ccccc1)CC(*)=O,0,1,1,4,0,192.21399999999997
P472125,0.8644107066747307,*CC(C[Si](*)(C)C)c1cccc2ccccc12,0,2,0,5,0,226.395
P070549,0.8634901000853346,*OC(CCl)C(*)CCl,0,0,0,4,0,140.99699999999999
P370617,0.8631127324667842,*CC(CS(=O)(=O)CCCC)O*,0,0,0,7,0,178.25299999999996
P040066,0.8623650431384415,*CC(*)(C)C(=O)OC1CCCCC1C,1,0,1,10,0,182.26299999999995
P462361,0.8619847342965475,*c1cc(CCOCCOC)c(*)[nH]1,0,0,2,5,0,167.208
P030140,0.8616276559136312,*CC(*)OC(=O)CC(C)(C)c1ccccc1,1,1,1,6,0,204.269
P100079,0.8610801141821078,*Cc1cccc(CNC(=O)/C=C(\C)C(=O)N*)c1,0,1,0,3,0,230.267
P382033,0.860783525577425,*CCOC(=O)CCSCCC(=O)O*,1,0,1,6,0,204.24699999999996
P390245,0.8606772475311938,*CC(C)(CC)COC(=O)c1ccc(C(=O)O*)cc1,1,1,1,6,0,248.278
P040229,0.8604041554501213,*CC(*)(C)C(=O)OCC(CC)CCCC,1,0,1,11,0,198.30599999999993
P070334,0.8567062869115605,*CCOCCOC(=O)CCCCCCC(=O)O*,1,0,2,10,0,244.2869999999999
P372810,0.8562675544465768,*CC(OO*)c1ccc(C(C)(C)C)cc1,0,1,0,6,0,192.25799999999998
P170033,0.8549776798395274,*O[Si](*)(C)CCC(F)(F)F,0,0,0,4,0,156.179
P322002,0.8538909083259865,*CC(*)c1ccccc1O,0,1,0,2,0,120.15099999999997
P370652,0.8524093711136798,*COC(=O)OCC1OC(C)(C)OC1*,0,0,4,7,0,188.17899999999997
P392643,0.8502372178183819,*CC(C)(CC)COC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1,2,1,6,0,324.37600000000003
P342492,0.848606438485815,*CC(*)(C)C(=O)OCc1cccc(Cl)c1Cl,1,1,1,4,0,245.105
P472028,0.848526064573156,*O[Si](*)(C)CCCCC1COC(=O)O1,0,0,2,7,0,202.28199999999998
P342394,0.8485040979101923,*CC(*)(C)C(=O)Nc1cccc(-c2nnc(-c3ccccc3)o2)c1,0,2,0,3,0,305.337
P342242,0.8470720582577166,*CC(*)(C)C(=O)OCC(=O)c1ccccc1,1,1,1,4,0,204.225
P100052,0.8466002725446065,*Cc1ccc(CNC(=O)c2cc(C(=O)N*)cc(C(C)(C)C)c2)cc1,0,2,0,6,0,322.4080000000001
P342007,0.8458712505729404,*CC(*)(C)C(=O)Oc1cc(C)ccc1C,1,1,1,5,0,190.24199999999996
P040332,0.8458712148349166,*CC(*)(C)C(=O)Oc1ccc(C)cc1C,1,1,1,5,0,190.24199999999996
P360038,0.8456826824153576,*C1C2C/C(=C\C)C(C2)C1*,0,0,0,7,0,120.19499999999996
P080015,0.8447146323012377,*CC(C)(C)S*,0,0,0,4,0,88.17499999999998
P390283,0.8446089740914566,*Oc1ccc2cc(C(*)=O)ccc2c1,0,2,0,0,0,170.167
P070407,0.8442580711698771,*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(C)=O,1,2,2,7,0,326.39200000000005
P090354,0.8427071534673967,*CCC(C)CCC(=O)S*,0,0,0,6,0,144.239
P330077,0.8424840011372653,*/C=C/CC(C*)c1ccccc1,0,1,0,3,0,144.21699999999998
P040103,0.8423149356180322,*CC(*)(C)C(=O)OCCOCC,1,0,2,7,0,158.19699999999997
P014500,0.8416184510593502,*CC1(*)CCCCC1,0,0,0,7,0,96.173
P340102,0.841290047210656,*CC(*)(C)C(=O)Oc1c(C)cccc1C,1,1,1,5,0,190.242
P030078,0.841147391751895,*CC/C=C(/*)c1ccccc1,0,1,0,2,0,130.18999999999997
P370146,0.8411092577342175,*Oc1c(Cl)cc(*)cc1Cl,0,1,0,0,0,160.98699999999997
P430204,0.8409189469494691,*CC(c1ccccc1)C1C(=O)NC(=O)C1*,0,1,0,4,0,201.22499999999997
P144509,0.8407470062911806,*CC1CC(*)C(=O)OC1=O,2,0,1,4,0,126.11099999999998
P030079,0.8405565137494924,*C(*)O,0,0,0,1,1,30.026
P070324,0.8354392529725108,*CCOCCOC(=O)CC(=O)O*,1,0,2,5,0,174.15199999999996
P070136,0.8343793488668254,*CCOCCOC(=O)CCCCCCCC(=O)O*,1,0,2,11,0,258.3139999999999
P010017,0.834319619493346,*CC(C)C(*)(C)C,0,0,0,6,0,84.16199999999999
P500036,0.8342684926939942,*C/C(C)=C/C(C)S(*)(=O)=O,0,0,0,4,0,146.21099999999998
P370090,0.8337095702763566,*Oc1ccc(C(=O)OCC(C)(C)COC(=O)c2ccc(*)cc2)cc1,2,2,2,5,0,326.348
P342642,0.8334125647532592,*CC(*)C(=O)N1CC[NH+](CC)CC1,0,0,0,8,0,169.248
P070229,0.8330382790074664,*Oc1ccc(C(=O)NCC(C)(C)CCCNC(=O)c2ccc(*)cc2)cc1,0,2,0,7,0,352.434
P040262,0.8318301206992226,*CC(*)(CC(=O)OCC)C(=O)OCC,2,0,2,7,0,186.20699999999997
P010060,0.8317708989410455,*CC(*)CCC1CCCCC1,0,0,0,10,0,138.254
P332048,0.8310760494960725,*CC(*)CO,0,0,0,3,1,58.08
P432945,0.8287117314256209,*CCC1C(=O)N(CCC)C(=O)C1*,0,0,0,7,0,167.208
P322003,0.8286894284576928,*CC(*)c1cccc(O)c1,0,1,0,2,0,120.15099999999997
P210010,0.8283304496436783,*CCc1cc(C)c(*)cc1C,0,1,0,4,0,132.206
P070015,0.8274587975793013,*CC(CCl)O*,0,0,0,3,0,92.52499999999999
P044463,0.8272839065144575,*CC(*)C(=O)NCCCCCC(=O)O,0,0,0,7,0,185.22299999999998
P520022,0.8263475084456942,*CC(*)(F)C(=O)OCC(F)(F)F,1,0,1,4,0,172.07699999999997
P030179,0.8262732728897173,*CC(*)OC(=O)C1(C)CCCCC1,1,0,1,9,0,168.23599999999996
P079027,0.8247330321461482,*CC(C[N-][N+]#N)O*,0,0,0,3,0,99.09299999999999
P392699,0.824170666748539,*CC#CCOC(=O)CCCCCCCCCCC(=O)O*,1,0,1,12,0,280.3639999999999
P040267,0.8240298488685796,*CC(*)(CF)C(=O)OCC,1,0,1,5,0,132.134
P030077,0.8238204857701414,*/C=C/C(C*)OC,0,0,1,3,0,84.118
P340043,0.8224930400015081,*CC(*)(C)C(=O)OCC#N,1,0,1,4,0,125.12699999999998
P450081,0.821598898667341,*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(Cl)c2)cc1,0,2,1,3,0,288.73
P070017,0.8211658564040647,*CC(CBr)O*,0,0,0,3,0,136.976
P020017,0.820879067089947,*CC(*)c1ccccc1C(=O)O,0,1,0,2,0,148.16099999999997
P432944,0.8207332462153633,*CCC1C(=O)N(CC)C(=O)C1*,0,0,0,6,0,153.181
P332309,0.8202728076467711,*C1C2CC(C1*)C([Si](C)(C)C)C2,0,0,0,10,0,166.33999999999997
P512194,0.8202678165517552,*/C=C/c1cc(OCCc2ccccc2)c(*)cc1OC,0,2,2,3,0,252.31300000000002
P170078,0.818849401356726,*C/C=C/C[Si](*)(C)c1ccccc1,0,1,0,3,0,174.31900000000002
P030196,0.8188204782479962,*CCC/C=C(/*)c1ccccc1,0,1,0,3,0,144.21699999999998
P392355,0.8187750199573538,*CCC(C)CCOC(=O)CCCCC(=O)O*,1,0,1,10,0,228.28799999999993
P392644,0.8181976613522126,*CC(C)(CCC)COC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1,2,1,7,0,338.403
P462467,0.8171168820981485,*CCN(*)C(=O)c1c(F)cc(F)cc1F,0,1,0,2,0,201.14699999999996
P090003,0.8171006606806004,*CCOC(=O)CCC(=O)O*,1,0,1,4,0,144.12599999999998
P010081,0.8170606355600278,*/C=C/CCCCCC*,0,0,0,6,0,110.2
P040239,0.816837586834438,*CC(*)(C)C(=O)OCCC#N,1,0,1,5,0,139.15399999999997
P030191,0.816793079692149,*CC(OC)C1C(=O)OC(=O)C1*,2,0,2,5,0,156.13699999999997
P340125,0.8165123758786816,*CC(*)(C)C(=O)OC1CCC1,1,0,1,7,0,140.18199999999996
P010025,0.8161690528887617,*CC(*)C1CCCCC1,0,0,0,8,0,110.2
P330139,0.8158103514963198,*CC(*)c1ccc2c(c1)OCO2,0,1,2,3,0,148.16099999999997
P382101,0.8158059071142338,*c1cc(CCCCBr)c(*)s1,0,0,0,4,0,217.131
P430245,0.8134293479426311,*CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1,0,2,0,1,0,321.29200000000003
P090184,0.8127774348560074,*OC(CC)CC(*)=O,0,0,0,4,0,100.11699999999999
P360014,0.812705931135731,*/C=C(/*)C(C)(C)C,0,0,0,4,0,82.14599999999999
P100556,0.8124802818613475,*C(=O)c1cccc(C(=O)N2CCN(*)CC2)c1,0,1,0,4,0,216.23999999999992
P110236,0.8121470575436024,*OC(COC(=O)Nc1ccc(Cc2ccc(NC(*)=O)cc2)cc1)c1ccco1,0,2,1,3,0,378.38400000000007
P070137,0.8120525044581663,*CCOCCOC(=O)CCCCCCCCC(=O)O*,1,0,2,12,0,272.3409999999999
